Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
84,71,pillars|af|K1|bbsit,pillars,af,1.0,1.0,1.9493979036830476,0.0,0.0,11.76470588235294,51.17647058823529,0.0,51.17647058823529,53.153740732587245,6.712896631192091,46.44084410139516,0.14347763767036353,0.0,1.0372493732594936,509.86861111111114,0.45517727520658147,,1,,20260829_051944
85,72,pillars|af|K1|bbsit|@u6sitlatest,pillars,af,1.0,0.0,1.0,0.0,0.0,12.999999999999998,53.0,0.0,53.0,57.66288316049405,6.361426872127601,51.30145628836643,0.20910667439688976,0.0,0.7111951506748546,486.037037037037,0.4400473073608883,,1,,20260904_134847
86,73,pillars|af|K2|bbsit,pillars,af,2.0,1.0,4.016771773940576,0.0,0.0,5.294117647058823,44.11764705882353,0.0,44.11764705882353,56.249770270437665,12.542130124656788,43.707640145780886,0.5001869991980837,0.0,0.7898006483240723,513.2740079365079,0.44422343628090555,,1,,20260829_064323
87,74,pillars|af|K2|bbsit|@u6sitlatest,pillars,af,2.0,0.0,2.0,0.0,0.0,13.999999999999998,54.0,0.0,54.0,53.091147415701016,12.221741258467,40.86940615723402,0.6001261829652996,0.0,0.49613708979969323,495.3125,0.42923628984221135,,1,,20260904_144659
88,75,pillars|af|K5|bbsit,pillars,af,5.0,0.0,12.710620616751996,0.0,0.0,1.1764705882352942,40.588235294117645,0.0,40.588235294117645,650.0270111860093,35.30064664731656,614.7263645386928,0.8701707181295231,0.0,1.0551698605355448,506.2416666666667,0.4758247945639431,,1,,20260829_081433
89,76,pillars|diffusion|K20|@u7hg,pillars,diffusion,20.0,0.0,20.0,0.0,0.0,0.0,100.0,5.714285714285714,100.0,3557.4917852394233,177.2347859037427,3380.2569993356806,1.0,0.0,0.5165565411552598,,0.3177064388999099,,1,,20260918_121501
90,77,pillars|diffusion|K20|@u7xl,pillars,diffusion,20.0,0.0,20.0,0.0,0.0,0.0,100.0,0.0,100.0,7042.567950887772,177.25473283883085,6865.313218048941,1.0,0.0,0.7552045668905881,,0.35114135727286583,,1,,20260919_111842
91,78,pillars|fm|K10,pillars,fm,10.0,0.0,14.545454545454545,0.0,0.0,0.0,10.144927536231883,0.0,10.144927536231883,2014.1340757008866,94.87822744824862,1919.2558482526379,1.0,0.08695652173913042,2.0346804893593533,496.8,4.2596382854541925,,1,,20260818_130346
92,79,pillars|fm|K1,pillars,fm,1.0,1.0,1.7356745221748004,0.0,0.0,0.0,35.294117647058826,0.0,35.294117647058826,143.536477293365,10.604398759267024,132.93207853409797,0.4283540545555762,0.0,2.288242537507496,,0.6754681384037717,,1,,20260827_172555
93,81,pillars|fm|K1|@u7xl,pillars,fm,1.0,0.0,1.0,0.0,0.0,11.428571428571429,100.0,0.0,100.0,229.01610673158316,8.968069799324512,220.04803693225858,0.5040211994027284,0.0,0.757516809056234,432.625,0.367201589744553,,1,,20260920_011523
94,82,pillars|fm|K20,pillars,fm,20.0,0.0,20.0,0.0,0.0,5.0,5.0,0.0,5.0,5869.2089980913015,177.8645146734287,5691.344483417873,0.6810725552050474,0.375,1.9370147963463658,474.5555555555556,0.6290672679429642,,1,,20260827_234036
95,83,pillars|fm|K2,pillars,fm,2.0,1.0,3.2956831658992134,0.0,0.0,1.7647058823529416,45.294117647058826,0.0,45.88235294117647,132.33152203373672,19.34316119968186,112.98836083405487,0.6338652811282242,0.0,1.5944890835502739,509.0,0.5107235003729327,,1,,20260827_203140
96,86,pillars|fm|K2|@u7xl,pillars,fm,2.0,0.0,2.0,0.0,0.0,4.285714285714286,100.0,0.0,100.0,132.21132927650595,17.476283452650183,114.73504582385577,0.857165389815232,0.0,0.7379629174361966,450.6666666666667,0.35687124584540625,,1,,20260920_111902
