Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
138,92,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,58.333333333333336,,0.4550292989258491,,1.8136583153606847,20260614_213229
139,161,H8_K10_Meuler_T0.5_A0.25_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,58.333333333333336,,0.3017175146124922,,5.909167751747037,20260811_233457
140,7,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,56.666666666666664,,0.5660697696761865,,1.9548480255231746,20260624_100850
141,155,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.666666666666664,,0.034567764797657996,,5.098529634023641,20260812_102549
142,132,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.9445911593508576,,33.03002028211598,20260730_130657
143,134,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.2199173709299061,,10.599177056372955,20260730_115010
144,127,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555557,,0.038863297858102504,,0.9637674674339041,20260718_170803
145,98,H8_K20_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555556,,1.109663479038443,,1.7573098243613472,20260601_154815
146,146,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,54.166666666666664,,0.04040962251127084,,22.528278083265356,20260802_000208
147,93,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,52.77777777777778,,0.48172675408790183,,1.8614680102926522,20260617_073831
148,141,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.000000000000014,,0.02451764694221985,,0.6840551659271963,20260727_215507
149,4,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,50.0,,0.8241979767380122,,1.8683474537588556,20260715_043315
150,131,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.04918694402494177,,5.52964758071691,20260730_113339
151,144,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.05227293880004807,,4.909197245639004,20260731_231841
152,103,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,49.99999999999999,,0.5212479080327758,,1.4857273369094053,20260629_072523
153,133,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.91666666666667,,0.04295820899775732,,4.3551094043976,20260728_234845
154,136,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.916666666666664,,0.052037277107281184,,4.836789667504513,20260730_155904
